"","id","ForearmLength","Digit5.Length","Digit4.Length","Digit3.Length","Mass","Wingspan"
"1","ODLAM-011",41.4,63.2,61.7,87.5,15.5,330
"2","ODLAM-010",42.4,64.1,62.6,94.9,17.5,325
"3","ODLAM-012",37.9,54.6,58.2,76,9,295
"4","ODLAM-014",41.5,58.3,58.95,79.7,16.5,319
"5","ODLAM-016",31,28.4,49.9,60.75,7.5,238
"6","ODLAM-018",42.1,59.15,61.9,79.9,15.5,331
"7","ODLAM-019",37.1,52.8,57.7,74.4,19,304
"8","ODLAM-020",67.65,84.15,91.1,116,40,511
"9","ODLAM-021",57.7,60.7,80.4,106.8,20.5,427
"10","ODLAm-022",37.25,31.3,46.5,68.7,16.5,293
